cycle,range_bin,doppler_bin,output_hex
1247955000,23,7,00cf0058
1247965000,23,8,ff4d0077
1247975000,23,9,003e0116
1247985000,23,10,0070fd1e
1247995000,23,11,ff000215
1248005000,23,12,ff69ff07
1248015000,23,13,01ba0058
1248025000,23,14,ff3bfe00
1248035000,23,15,ff840306
1248045000,23,16,00c0fd92
1248055000,23,17,00240108
1248065000,23,18,fe3a0040
1248075000,23,19,01680040
1248085000,23,20,fedcff2b
1248095000,23,21,014d01e9
1248105000,23,22,ff0bfe33
1248115000,23,23,ff2100d4
1248125000,23,24,02f30015
1248135000,23,25,fe50fe86
1248145000,23,26,ff76012e
1248155000,23,27,00d00069
1248165000,23,28,ff9bff2f
1248175000,23,29,00fc00c6
1248185000,23,30,ffa3fffa
1248195000,23,31,ff88ff6a
1253265000,24,0,0057ffd6
1253275000,24,1,013800b9
1253285000,24,2,feddfec0
1253295000,24,3,00c2012d
1253305000,24,4,ff69fff7
1253315000,24,5,ff94ff70
1253325000,24,6,0024ff95
1253335000,24,7,00c90050
1253345000,24,8,009d0038
1253355000,24,9,fda900a8
1253365000,24,10,013ffe01
1253375000,24,11,00cc0243
1253385000,24,12,fecffe52
1253395000,24,13,00de0256
1253405000,24,14,0004fdef
1253415000,24,15,ffec0247
1253425000,24,16,ffbffd34
1253435000,24,17,001800fd
1253445000,24,18,00a7ffe6
1253455000,24,19,ff8a008d
1253465000,24,20,001dfd85
1253475000,24,21,ff4a02e4
1253485000,24,22,024cfed7
1253495000,24,23,fd25fef8
1253505000,24,24,0179017a
1253515000,24,25,fe8fff52
1253525000,24,26,01010051
1253535000,24,27,feb40067
1253545000,24,28,00b7fed6
1253555000,24,29,0004022e
1253565000,24,30,01b0fddd
1253575000,24,31,fdf200f5
1258645000,25,0,00b9fd3a
1258655000,25,1,00c00097
1258665000,25,2,fe92ffcf
1258675000,25,3,01da00b1
1258685000,25,4,fe51fe3d
1258695000,25,5,013f019b
1258705000,25,6,ff7efe5e
1258715000,25,7,ff9d00d6
1258725000,25,8,00cb011e
1258735000,25,9,fe9dfe81
1258745000,25,10,001600e3
1258755000,25,11,00a4ff1d
1258765000,25,12,ff5500b2
1258775000,25,13,003d00c0
1258785000,25,14,007bff59
1258795000,25,15,ff01ff2c
1258805000,25,16,00cf00ce
1258815000,25,17,014e0057
1258825000,25,18,fdb6ff17
1258835000,25,19,010e00e3
1258845000,25,20,ffaffff5
1258855000,25,21,00e70117
1258865000,25,22,fe40fd7a
1258875000,25,23,01bb0160
1258885000,25,24,fe79fffe
1258895000,25,25,014dffc1
1258905000,25,26,ff56ff57
1258915000,25,27,ff90017b
1258925000,25,28,00ffff70
1258935000,25,29,ffdd0106
1258945000,25,30,0143fe07
1258955000,25,31,fe0302fa
1264025000,26,0,ffd6fef5
1264035000,26,1,ff810095
1264045000,26,2,ff76000c
1264055000,26,3,02ca0006
1264065000,26,4,fd180060
1264075000,26,5,02ba000b
1264085000,26,6,feb9ff11
1264095000,26,7,013a01b6
1264105000,26,8,fe7ffe19
1264115000,26,9,015d0178
1264125000,26,10,fec1fea6
1264135000,26,11,013300b1
1264145000,26,12,feddfe93
1264155000,26,13,0060015b
1264165000,26,14,ffb8fe76
1264175000,26,15,004800d2
1264185000,26,16,018eff73
1264195000,26,17,fd3d0179
1264205000,26,18,0036fe6c
1264215000,26,19,00cc01d0
1264225000,26,20,fff2fdda
1264235000,26,21,ff4e01f7
1264245000,26,22,ff89ff05
1264255000,26,23,01f80184
1264265000,26,24,fe91fd1b
1264275000,26,25,ffc501e2
1264285000,26,26,01570046
1264295000,26,27,ff27ff61
1264305000,26,28,ffbd0107
1264315000,26,29,0088fe8b
1264325000,26,30,005a01b0
1264335000,26,31,ff96ffac
1269405000,27,0,00c7fe9a
1269415000,27,1,fe9401fa
1269425000,27,2,0063ffdd
1269435000,27,3,ffe3fe83
1269445000,27,4,00310095
1269455000,27,5,ff8300d5
1269465000,27,6,0069fea5
1269475000,27,7,ff87017f
1269485000,27,8,ffddfdd1
1269495000,27,9,0032013a
1269505000,27,10,ff96ff93
1269515000,27,11,01060121
1269525000,27,12,fedaff44
1269535000,27,13,004a0143
1269545000,27,14,00a3fe43
1269555000,27,15,ff7d01af
1269565000,27,16,00fbff08
1269575000,27,17,fda2ffbe
1269585000,27,18,01d7ffa9
1269595000,27,19,ff3f013d
1269605000,27,20,01f7fecd
1269615000,27,21,fd6d0111
1269625000,27,22,00f1fec7
1269635000,27,23,003501d3
1269645000,27,24,ff99fe49
1269655000,27,25,0044000e
1269665000,27,26,00380273
1269675000,27,27,fed4fe5b
1269685000,27,28,012e0036
1269695000,27,29,002afeb7
1269705000,27,30,ff53029d
1269715000,27,31,00fbfe73
1274785000,28,0,004effe3
1274795000,28,1,00070106
1274805000,28,2,ff21fe0a
1274815000,28,3,0063010a
1274825000,28,4,0163ffed
1274835000,28,5,fecaffd6
1274845000,28,6,ffa7ffc5
1274855000,28,7,01c001c0
1274865000,28,8,fe66fd7a
1274875000,28,9,001c017b
1274885000,28,10,00a0fff5
1274895000,28,11,ff3e010a
